INGR_KOR_NAME,INGR_ENG_NAME,CAS_NO,ORIGIN_MAJOR_KOR_NAME,INGR_SYNONYM
메틸살리실레이트,Methyl Salicylate,,이 원료는 다음의 구조를 갖는 메틸알코올과 살리실릭애씨드의 에스터이다.,메칠살리실레이트
메틸세린,Methylserine,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠세린
메틸셀룰로오스,Methylcellulose,,이 원료는 셀룰로오스의 메틸에터이다.,메칠셀룰로오스
메틸소이에이트,Methyl Soyate,,이 원료는 메틸알코올과 소이애씨드의 에스터이다. 주로 다음의 구조를 갖으며 RCO-는 콩오일에서 얻은 지방산이다.,메칠소이에이트
메틸스타이렌/비닐톨루엔코폴리머,Methylstyrene/Vinyltoluene Copolymer,,이 원료는 메틸스타이렌과 비닐톨루엔 모노머들의 중합체이다.,메칠스타이렌/비닐톨루엔코폴리머
메틸실란올만누로네이트,Methylsilanol Mannuronate,,이 원료는 모노메틸실란올 및 올리고머릭만누로닉애씨드의 에스터이다. 주로 다음의 구조를 갖는다.,메칠실라놀만누로네이트
메틸실란올카복시메틸테오필린알지네이트,Methylsilanol Carboxymethyl Theophylline Alginate,,이 원료는 메틸실란올카복시메틸테오필린과 알지닉애씨드의 반응물이다.,메칠실라놀카복시메칠테오필린알지네이트
구주소나무잎추출물,Pinus Sylvestris Leaf Extract,,이 원료는 구주소나무 (Pinus sylvestris)의 잎에서 추출한 것이다.,
메틸실란올피이지-7글리세릴코코에이트,Methylsilanol PEG-7 Glyceryl Cocoate,,이 원료는 다음의 구조를 갖는 에톡실화된 에스터이며 RCO-는 코코넛오일로 부터 얻은 지방산 라디칼이다.,메칠실라놀피이지-7글리세릴코코에이트
메틸실란올하이드록시프롤린아스파테이트,Methylsilanol Hydroxyproline Aspartate,,이 원료는 메틸실란올 하이드록시프롤린과 아스파틱애씨드의 반응물이다.,메칠실라놀하이드록시프롤린아스파테이트
메틸실란올/실리케이트크로스폴리머,Methylsilanol/Silicate Crosspolymer,,이 원료는 실리카와 메틸실란올의 반응에 의해 얻은 크로스폴리머이다.,메칠실란올/실리케이트크로스폴리머
메틸실란올트라이-피이지-8글리세릴코코에이트,Methylsilanol Tri-PEG-8 Glyceryl Cocoate,,이 원료는 다음의 구조를 갖는 에톡실화된 에스터다. RCO-는 코코넛오일에서 얻은 지방산 라디칼이다.,메칠실란올트리-피이지-8글리세릴코코에이트
메틸아세테이트,Methyl Acetate,,이 원료는 메틸알코올과 아세틱애씨드의 에스터이다.,메칠아세테이트
메틸안트라닐레이트,Methyl Anthranilate,,이 원료는 메틸알코올과 2-아미노벤조익애씨드의 에스터이다. 다음의 구조를 갖는다.,메칠안트라닐레이트
메틸2-옥티노에이트,Methyl 2-Octynoate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠2-옥티노에이트
메틸유제놀,Methyl Eugenol,,이 원료는 다음의 구조를 갖는 방향족 화합물이다.,메칠유제놀
메틸유제닐피이지-8다이메티콘,Methyleugenyl PEG-8 Dimethicone,,이 원료는 메틸유제닐다이메티콘 및 피이지-8다이메티콘의 공중합체이다.,메칠유제닐피이지-8디메치콘
메칠이소치아졸리논,Methylisothiazolinone,,이 원료는 다음의 구조를 갖는 헤테로사이클릭 유기화합물이다.,
암브레트씨추출물,Hibiscus Abelmoschus Seed Extract,,이 원료는 암브레트 Hibiscus abelmoschus의 씨에서 추출한 것이다.,구주아욱씨추출물
메틸카프로에이트,Methyl Caproate,,이 원료는 메틸알코올과 카프로익애씨드의 에스터이다. 주로 다음의 구조를 갖는다.,메칠카프로에이트
메틸코코에이트,Methyl Cocoate,,이 원료는 코코넛 지방산과 메틸알코올의 에스터이다. 주로 다음의구조를 갖으며 RCO-는 코코넛오일로부터 얻은 지방산이다.,메칠코코에이트
메칠클로로이소치아졸리논,Methylchloroisothiazolinone,,이 원료는 다음의 구조를 갖는 헤테로사이클릭 유기화합물이다.,
메틸타이로시네이트에이치씨엘,Methyl Tyrosinate HCl,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠타이로시네이트에이치씨엘
메틸트라이메티콘,Methyl Trimethicone,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠트리메치콘
메틸파라벤,Methylparaben,,이 원료는 메틸알코올과 파라-하이드록시벤조익애씨드의 에스터이다. 다음의 구조를 갖는다.,메칠파라벤
메틸퍼플루오로부틸에터,Methyl Perfluorobutyl Ether,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠퍼플루오로부틸에텔
메틸퍼플루오로아이소부틸에터,Methyl Perfluoroisobutyl Ether,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠퍼플루오로이소부틸에텔
메틸페닐부탄올,Methyl Phenylbutanol,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠페닐부탄올
메틸펠라고네이트,Methyl Pelargonate,,이 원료는 메틸알코올과 펠라고닉애씨드의 에스터이다. 다음의 구조를 갖는다.,메칠펠라고네이트
칡뿌리가루,Pueraria Lobata Root Powder,,이 원료는 칡 Pueraria lobata(=Pueraria thunbergiana)의 뿌리를 건조하여 가루로 한 것이다.,갈근가루
암브레트추출물,Hibiscus Abelmoschus Extract,,이 원료는 암브레트 Hibiscus abelmoschus의 전초에서 추출한 것이다.,구주아욱추출물
메칠폴리실록산에멀젼,Methylpolysiloxane Emulsion,,,
메틸프로판다이올,Methylpropanediol,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠프로판디올
메틸피롤리돈,Methyl Pyrrolidone,,이 원료는 다음의 구조를 갖는 치환된 헤테로고리 유기화합물이다.,메칠피롤리돈
1-메틸하이단토인-2-이미드,1-Methylhydantoin-2-Imide,,이 원료는 다음의 구조를 갖는 유기화합물이다.,1-메칠하이단토인-2-이미드
메틸하이드로제네이티드로지네이트,Methyl Hydrogenated Rosinate,,이 원료는 로진에서 유래된 수소첨가 알릭사이클릭애씨드와 메틸알코올의 에스터이다.,메칠하이드로제네이티드로지네이트
메틸헤스페리딘,Methyl Hesperidin,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠헤스페리딘
메틸헵틸아이소스테아레이트,Methylheptyl Isostearate,,이 원료는 1-메틸헵탄올과 아이소스테아릭애씨드의 에스터로 다음의 구조를 갖는다.,메칠헵틸이소스테아레이트
메타크릴로일에틸베타인/아크릴레이트코폴리머,Methacryloyl Ethyl Betaine/Acrylates Copolymer,,이 원료는 두 개 혹은 그 이상의 메타크릴릭애씨드모노머 또는 그것의 단순한 에스터 및 메타크릴로일에틸베타인의 중합체이다.,메타크릴로일에칠베타인/아크릴레이트코폴리머
메타포스포릭애씨드,Metaphosphoric Acid,,이 원료는 다음의 구조를 갖는 무기산이다.,
메텐아민,Methenamine,,이 원료는 다음의 구조를 갖는 유기아민이다.,
국화추출물,Chrysanthemum Morifolium Flower Extract,,이 원료는 국화 Chrysanthemum morifolium의 꽃에서 추출한 것이다.,국화꽃추출물
메톡시신나미도프로필라우르다이모늄토실레이트,Methoxycinnamidopropyl Laurdimonium Tosylate,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,메톡시신나미도프로필라우르디모늄토실레이트
메톡시신나미도프로필하이드록시설테인,Methoxycinnamidopropyl Hydroxysultaine,,이 원료는 다음의 구조를 갖는 양쪽성 이온이다.,
메톡시아모다이메티콘/실세스퀴옥세인코폴리머,Methoxy Amodimethicone/Silsesquioxane Copolymer,,이 원료는 메틸트라이메톡시실레인과 메톡시아모디메티콘 모노머들의 공중합체이다.,"메톡시아모디메치콘/실세스퀴옥산코폴리머,아모다이메티콘/실세스퀴옥산코폴리머"
메톡시피이지-22/도데실글라이콜코폴리머,Methoxy PEG-22/Dodecyl Glycol Copolymer,,이 원료는 주로 다음의 구조를 갖는 폴리머이다.,
메톡시피이지-12레틴아마이드,Methoxy PEG-12 Retinamide,,이 원료는 다음의 구조를 갖는 유기화합물이다. n이 평균 11이다.,
메톡시피이지-7아스코빅애씨드,Methoxy PEG-7 Ascorbic Acid,,이 원료는 유기화합물이며 주로 n은 평균6인 다음의 구조를 갖는다.,
메톡시피이지-114/폴리엡실론카프로락톤,Methoxy PEG-114/Polyepsilon Caprolactone,,이 원료는 주로 다음의 구조를 갖는 블록공중합체이다. x는 평균 114이다.,메톡시피이지-114/폴리엡실론카프롤락톤
메톡시피이지/피피지-7/3아미노프로필다이메티콘,Methoxy PEG/PPG-7/3 Aminopropyl Dimethicone,,이 원료는 실리콘 중합체이며 주로 m은 평균값이 3이고 n은 7인 다음의 구조를 갖는다.,메톡시피이지/피피지-7/3아미노프로필디메치콘
멕시칸주니퍼오일,Juniperus Mexicana Oil,,이 원료는 멕시칸주니퍼 Juniperus mexicana의 전초에서 얻은 휘발성오일이다.,
멕시코야생얌뿌리추출물,Dioscorea Composita Root Extract,,이 원료는 멕시칸야생마 (Dioscorea composita)의 뿌리에서 추출한 것이다.,
굳은소나무가지/잎오일,Pinus Ponderosa Branch/Leaf Oil,,이 원료는 굳은소나무 Pinus ponderosa의 가지 및 바늘잎에서 얻은 휘발성오일이다.,
멘톡시프로판다이올,Menthoxypropanediol,,이 원료는 다음의 구조를 갖는 유기화합물이다.,멘톡시프로판디올
멘톤글리세린아세탈,Menthone Glycerin Acetal,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
멘톨,Menthol,,이 원료는 다음의 구조를 갖는 디터펜이다.,
멘틸락테이트,Menthyl Lactate,,이 원료는 멘톨 및 락틱애씨드의 에스터이다.,
멘틸살리실레이트,Menthyl Salicylate,,이 원료는 멘톨과 살리실릭애씨드의 에스터 이다. 다음의 구조를 갖는다.,
멘틸안트라닐레이트,Menthyl Anthranilate,,이 원료는 멘톨 및 o-안트라닐릭애씨드의 에스터이다.,
멘틸피씨에이,Menthyl PCA,,이 원료는 멘톨 및 피롤리돈카복실릭애씨드(PCA)의 에스터이다.,
멜라닌,Melanin,,"이 원료는 동물 피부, 털, 날개 및 모피의 색을 결정하는 색소이다.",
멜라토닌,Melatonin,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
멜로트리아뿌리추출물,Melothria Heterophylla Root Extract,,이 원료는 멜로트리아 (Melothria heterophylla)의 뿌리에서 추출한 것이다.,
굴추출물,Oyster Extract,,"이 원료는 굴, 진주조개 Pinctada martensii, 또는 참굴 Crassostrea gigas의 살에서 추출한 것이다.",
멜론수,Cucumis Melo (Melon) Fruit Water,,이 원료는 멜론 (Cucumis melo)의 열매를 수증기 증류하여 얻은 수용액이다.,
멜론즙,Cucumis Melo (Melon) Juice,,이 원료는 멜론 (Cucumis melo)의 신선한 과육을 압착하여 얻은 액이다.,
멜론추출물,Cucumis Melo (Melon) Fruit Extract,,이 원료는 멜론(Melon) Cucumis melo의 열매에서 추출한 것이다.,
멜리바이오스,Melibiose,,이 원료는 다음의 구조를 갖는 탄수화물이다.,
멜리식애씨드,Mellisic Acid,,이 원료는 다음의 구조를 갖는 지방족 애씨드이다.,
흰명아주꽃추출물,Chenopodium Album Flower Extract,,이 원료는 흰명아주 Chenopodium album의 꽃에서 추출한 것이다.,명아주꽃추출물
신선초잎/줄기추출물,Angelica Keiskei Leaf/Stem Extract,,이 원료는 안젤리카속인 신선초 Angelica keiskei 의 잎 및 줄기에서 추출한 것이다.,명일엽잎/줄기추출물
신선초추출물,Angelica Keiskei Extract,,이 원료는 신선초 Angelica keiskei 전초에서 추출한 것이다.,명일엽추출물
모과추출물,Chaenomeles Sinensis Fruit Extract,,이 원료는 모과나무 (Chaenomeles sinensis)의 열매에서 추출한 것이다.,
띠뿌리추출물,Imperata Cylindrica Root Extract,,이 원료는 띠 Imperata cylindrica의 뿌리에서 추출한 것이다.,모근추출물
굴피나무열매추출물,Platycarya Strobilacea Fruit Extract,,이 원료는 굴피나무 Platycarya strobilacea의 열매에서 추출한 것이다.,
모노소듐시트레이트,Monosodium Citrate,,이 원료는 다음의 구조를 갖는 유기염이다.,
모란껍질추출물,Paeonia Suffruticosa Bark Extract,,이 원료는 모란 Paeonia suffruticosa의 껍질에서 추출한 것이다.,
모란뿌리추출물,Paeonia Suffruticosa Root Extract,,이 원료는 모란 (Paeonia suffruticosa)의 뿌리에서 추출한 것이다.,
굴껍질가루,Oyster Shell Powder,,이 원료는 굴껍질을 건조하여 가루로 한 것이다.,모려가루
굴껍질추출물,Oyster Shell Extract,,이 원료는 굴껍질에서 추출한 것이다.,모려추출물
모로칸용암점토,Moroccan Lava Clay,,이 원료는 모로코에서 채광된 스멕타이트 점토의 유형이다.,모로코라바클레이
몰로키아잎추출물,Corchorus Olitorius Leaf Extract,,이 원료는 일본 야채인 몰로키아 Corchorus olitorius의 잎에서 추출한 것이다.,모로헤이야잎추출물
모르티에렐라오일,Mortierella Oil,,이 원료는 모르티에렐라 (Mortierella isabellina)를 배양하여 얻은 오일이다.,
모스빈씨추출물,Vigna Aconitifolia Seed Extract,,이 원료는 모스빈 (Vigna aconitifolia)의 씨에서 추출한 것이다.,
모우라버터트리씨버터,Bassia Latifolia Seed Butter,,이 원료는 모우라버터트리 Bassia latifolia의 씨에서 얻은 지방이다.,
굴피나무추출물,Platycarya Strobilacea Extract,,이 원료는 굴피나무 Platycarya strobilacea의 전초에서 추출한 것이다.,
모우레라 플루비아틸리스추출물,Mourera Fluviatilis Extract,,이 원료는 모우레라플루비아틸리스 (Mourera fluviatilis)의 전초에서 추출한 것이다.,
모자반추출물,Sargassum Fulvellum Extract,,이 원료는 조류의 일종인 모자반 Sargassum fulvellum에서 추출한 것이다.,
목련가지/꽃/잎추출물,Magnolia Kobus Branch/Flower/Leaf Extract,,"이 원료는 목련 Magnolia kobus의 잎과 꽃, 가지에서 추출한 것이다.",목련나무가지/꽃/잎추출물
목련나무껍질추출물,Magnolia Kobus Bark Extract,,이 원료는 목련나무 (Magnolia kobus)의 껍질에서 추출한 것이다.,
목서꽃추출물,Osmanthus Fragrans Flower Extract,,이 원료는 목서 Osmanthus fragrans의 꽃에서 추출한 것이다.,
목어석가루,,,이 원료는 중국 산동성 제남 장하의 만두산에서 채취한 목어석을 분쇄한 가루이다.,
으름덩굴줄기추출물,Akebia Quinata Stem Extract,,이 원료는 으름덩굴 Akebia quinata의 줄기에서 추출한 것이다.,목통추출물
목향추출물,Inula Helenium Extract,,이 원료는 목향 (Inula helenium)의 전초에서 추출한 것이다.,
